VariableRange,Instances,AffineFRMedian,AffineFRMean,PartialFRDMedian,PartialFRDMean,PartialFRDDMedian,PartialFRDDMean
n <= 2000,140,0.0457842291666667,0.0905260645833333,0.0759381875,0.185106053869048,0.0787484583333333,0.190053752380952
2000 < n <= 4000,84,0.688585958333333,0.930967657738095,1.5320918125,1.70228719742063,1.55334,2.22574567212302
4000 < n <= 6000,54,2.10866285416667,2.20451784259259,4.06752902083333,4.42283205478395,4.0695154375,4.44551221527778
6000 < n <= 8000,27,5.6181345,5.3891203904321,7.90897879166667,8.66695745524691,8.07898141666667,8.87438393827161
8000 < n <= 10000,27,11.8152876666667,10.6890034027778,16.1853974583333,15.9728257962963,16.2363387916667,19.4245114753086
