Instance,NumVariables,OriginalOrder,Method,Status,ReducedOrder,OrderRatio,Reduced,AuxiliaryLPTime,BasisTime,TotalTime
v150d30-2hopcds,150,151,Partial FR (D),OPTIMAL,151,1,0,0.043775875,0.000102291666666667,0.0438781666666667
v150d30-2hopcds,150,151,Partial FR (DD),OPTIMAL,149,0.986754966887417,1,0.0508305833333333,0.00508016666666667,0.05591075
mas74,151,152,Affine FR,OPTIMAL,152,1,0,0.00661625,9.52083333333333e-05,0.00671145833333333
mas74,151,152,Partial FR (D),OPTIMAL,152,1,0,0.010895125,0.000548166666666667,0.0114432916666667
mas74,151,152,Partial FR (DD),OPTIMAL,152,1,0,0.0112750416666667,0.00031275,0.0115877916666667
mas76,151,152,Affine FR,OPTIMAL,152,1,0,0.00635633333333333,0.000187125,0.00654345833333333
mas76,151,152,Partial FR (D),OPTIMAL,152,1,0,0.0116935,0.000143125,0.011836625
mas76,151,152,Partial FR (DD),OPTIMAL,152,1,0,0.00991325,5.40833333333333e-05,0.00996733333333333
assign1-5-8,156,157,Affine FR,OPTIMAL,127,0.808917197452229,1,0.00687245833333333,0.01005475,0.0169272083333333
assign1-5-8,156,157,Partial FR (D),OPTIMAL,157,1,0,0.01442825,5.60416666666667e-05,0.0144842916666667
assign1-5-8,156,157,Partial FR (DD),OPTIMAL,157,1,0,0.013806875,6.4375e-05,0.01387125
neos-5192052-neckar,180,181,Affine FR,OPTIMAL,161,0.889502762430939,1,0.00470175,0.00494666666666667,0.00964841666666667
neos-5192052-neckar,180,181,Partial FR (D),OPTIMAL,181,1,0,0.00876508333333333,6.30833333333333e-05,0.00882816666666667
neos-5192052-neckar,180,181,Partial FR (DD),OPTIMAL,181,1,0,0.00975520833333333,6.775e-05,0.00982295833333333
neos-3135526-osun,192,193,Affine FR,OPTIMAL,162,0.839378238341969,1,0.0267298333333333,0.01329775,0.0400275833333333
neos-3135526-osun,192,193,Partial FR (D),OPTIMAL,193,1,0,0.021480875,7.30833333333333e-05,0.0215539583333333
neos-3135526-osun,192,193,Partial FR (DD),OPTIMAL,193,1,0,0.026878625,8.2375e-05,0.026961
neos-5140963-mincio,196,197,Affine FR,OPTIMAL,170,0.862944162436548,1,0.006603875,0.006918,0.013521875
neos-5140963-mincio,196,197,Partial FR (D),OPTIMAL,197,1,0,0.0121335833333333,6.99583333333333e-05,0.0122035416666667
neos-5140963-mincio,196,197,Partial FR (DD),OPTIMAL,197,1,0,0.0131589583333333,6.74166666666667e-05,0.013226375
2club200v15p5scn,200,201,Affine FR,OPTIMAL,201,1,0,0.03121975,8.26666666666667e-05,0.0313024166666667
2club200v15p5scn,200,201,Partial FR (D),OPTIMAL,201,1,0,0.026063625,7.46666666666667e-05,0.0261382916666667
2club200v15p5scn,200,201,Partial FR (DD),OPTIMAL,201,1,0,0.02641825,8.3625e-05,0.026501875
p0201,201,202,Affine FR,OPTIMAL,146,0.722772277227723,1,0.00724625,0.00502266666666667,0.0122689166666667
p0201,201,202,Partial FR (D),OPTIMAL,202,1,0,0.012841875,7.25e-05,0.012914375
p0201,201,202,Partial FR (DD),OPTIMAL,202,1,0,0.013883625,6.2625e-05,0.01394625
glass-sc,214,215,Affine FR,OPTIMAL,215,1,0,0.0323293333333333,8.28333333333333e-05,0.0324121666666667
glass-sc,214,215,Partial FR (D),OPTIMAL,215,1,0,0.0312452916666667,7.70833333333333e-05,0.031322375
glass-sc,214,215,Partial FR (DD),OPTIMAL,215,1,0,0.0474182083333333,9.16666666666667e-05,0.047509875
iis-glass-cov,214,215,Affine FR,OPTIMAL,215,1,0,0.032415625,8.8875e-05,0.0325045
iis-glass-cov,214,215,Partial FR (D),OPTIMAL,215,1,0,0.0334845833333333,8.88333333333333e-05,0.0335734166666667
iis-glass-cov,214,215,Partial FR (DD),OPTIMAL,215,1,0,0.0374360833333333,0.000105125,0.0375412083333333
mad,220,221,Affine FR,OPTIMAL,191,0.864253393665158,1,0.00795179166666667,0.0132628333333333,0.021214625
mad,220,221,Partial FR (D),OPTIMAL,221,1,0,0.0145638333333333,9.1e-05,0.0146548333333333
mad,220,221,Partial FR (DD),OPTIMAL,221,1,0,0.0163927083333333,7.40833333333333e-05,0.0164667916666667
gsvm2rl3,241,242,Affine FR,OPTIMAL,242,1,0,0.00636358333333333,0.000139416666666667,0.006503
gsvm2rl3,241,242,Partial FR (D),OPTIMAL,242,1,0,0.0143400416666667,0.000180333333333333,0.014520375
gsvm2rl3,241,242,Partial FR (DD),OPTIMAL,242,1,0,0.0162709583333333,0.000118083333333333,0.0163890416666667
prod1,250,251,Affine FR,OPTIMAL,243,0.968127490039841,1,0.00985395833333333,0.0268097916666667,0.03666375
prod1,250,251,Partial FR (D),OPTIMAL,251,1,0,0.018777875,9.8125e-05,0.018876
prod1,250,251,Partial FR (DD),OPTIMAL,251,1,0,0.01948,0.00022275,0.01970275
neos-3754480-nidda,253,254,Affine FR,OPTIMAL,254,1,0,0.00704595833333333,0.000195416666666667,0.007241375
neos-3754480-nidda,253,254,Partial FR (D),OPTIMAL,254,1,0,0.0150780416666667,0.000134625,0.0152126666666667
neos-3754480-nidda,253,254,Partial FR (DD),OPTIMAL,254,1,0,0.0169165416666667,0.000156,0.0170725416666667
misc07,260,261,Affine FR,OPTIMAL,208,0.796934865900383,1,0.00905891666666667,0.0121937083333333,0.021252625
misc07,260,261,Partial FR (D),OPTIMAL,240,0.919540229885057,1,0.0191235,0.000288875,0.019412375
misc07,260,261,Partial FR (DD),OPTIMAL,240,0.919540229885057,1,0.021131125,0.000213458333333333,0.0213445833333333
iis-hc-cov,297,298,Affine FR,OPTIMAL,298,1,0,0.0643049583333333,0.00022175,0.0645267083333333
iis-hc-cov,297,298,Partial FR (D),OPTIMAL,298,1,0,0.0589994166666667,0.000154583333333333,0.059154
iis-hc-cov,297,298,Partial FR (DD),OPTIMAL,298,1,0,0.0755862083333333,0.000216833333333333,0.0758030416666667
prod2,301,302,Affine FR,OPTIMAL,291,0.963576158940397,1,0.012471875,0.01533425,0.027806125
prod2,301,302,Partial FR (D),OPTIMAL,302,1,0,0.0231329166666667,0.000167541666666667,0.0233004583333333
prod2,301,302,Partial FR (DD),OPTIMAL,302,1,0,0.025316,0.00024275,0.02555875
supportcase14,304,305,Affine FR,OPTIMAL,179,0.586885245901639,1,0.0108411666666667,0.0119002083333333,0.022741375
supportcase14,304,305,Partial FR (D),OPTIMAL,258,0.845901639344262,1,0.0233495416666667,0.000254958333333333,0.0236045
supportcase14,304,305,Partial FR (DD),OPTIMAL,255,0.836065573770492,1,0.0336834583333333,0.00534625,0.0390297083333333
neos-1430701,312,313,Affine FR,OPTIMAL,313,1,0,0.005798375,0.000176583333333333,0.00597495833333333
neos-1430701,312,313,Partial FR (D),OPTIMAL,313,1,0,0.016998,0.00014775,0.01714575
neos-1430701,312,313,Partial FR (DD),OPTIMAL,313,1,0,0.0176396666666667,0.000195791666666667,0.0178354583333333
mod008inf,319,320,Affine FR,OPTIMAL,320,1,0,0.0079795,0.000229458333333333,0.00820895833333333
mod008inf,319,320,Partial FR (D),OPTIMAL,320,1,0,0.0219357916666667,0.000232,0.0221677916666667
mod008inf,319,320,Partial FR (DD),OPTIMAL,320,1,0,0.0271435,0.000216166666666667,0.0273596666666667
supportcase16,319,320,Affine FR,OPTIMAL,193,0.603125,1,0.00970370833333333,0.0136850416666667,0.02338875
supportcase16,319,320,Partial FR (D),OPTIMAL,277,0.865625,1,0.030045875,0.00029175,0.030337625
supportcase16,319,320,Partial FR (DD),OPTIMAL,274,0.85625,1,0.0381690833333333,0.00918525,0.0473543333333333
probportfolio,320,321,Affine FR,OPTIMAL,320,0.996884735202492,1,0.0258225,0.0160648333333333,0.0418873333333333
probportfolio,320,321,Partial FR (D),OPTIMAL,321,1,0,0.0331642916666667,0.000232458333333333,0.03339675
probportfolio,320,321,Partial FR (DD),OPTIMAL,321,1,0,0.033507375,0.00018875,0.033696125
glass4,322,323,Affine FR,OPTIMAL,286,0.885448916408669,1,0.008622875,0.0126017083333333,0.0212245833333333
glass4,322,323,Partial FR (D),OPTIMAL,323,1,0,0.0219615833333333,0.0001815,0.0221430833333333
glass4,322,323,Partial FR (DD),OPTIMAL,323,1,0,0.024627125,0.00018325,0.024810375
control30-3-2-3,332,333,Affine FR,OPTIMAL,179,0.537537537537538,1,0.0137024583333333,0.0279666666666667,0.041669125
control30-3-2-3,332,333,Partial FR (D),OPTIMAL,333,1,0,0.0233330416666667,0.000181291666666667,0.0235143333333333
control30-3-2-3,332,333,Partial FR (DD),OPTIMAL,333,1,0,0.0243607916666667,0.00017725,0.0245380416666667
ran13x13,338,339,Affine FR,OPTIMAL,314,0.926253687315634,1,0.007670875,0.0294146666666667,0.0370855416666667
ran13x13,338,339,Partial FR (D),OPTIMAL,339,1,0,0.0235679583333333,0.000172375,0.0237403333333333
ran13x13,338,339,Partial FR (DD),OPTIMAL,339,1,0,0.0259338333333333,0.000242666666666667,0.0261765
pigeon-08,344,345,Affine FR,OPTIMAL,305,0.884057971014493,1,0.00751316666666667,0.024515125,0.0320282916666667
pigeon-08,344,345,Partial FR (D),OPTIMAL,345,1,0,0.0232624166666667,0.000260666666666667,0.0235230833333333
pigeon-08,344,345,Partial FR (DD),OPTIMAL,345,1,0,0.025539375,0.000309291666666667,0.0258486666666667
23588,368,369,Affine FR,OPTIMAL,232,0.628726287262873,1,0.017704375,0.0173034583333333,0.0350078333333333
23588,368,369,Partial FR (D),OPTIMAL,369,1,0,0.0330425833333333,0.000342916666666667,0.0333855
23588,368,369,Partial FR (DD),OPTIMAL,369,1,0,0.0389881666666667,0.000210833333333333,0.039199
nsa,388,389,Affine FR,OPTIMAL,352,0.904884318766067,1,0.0124312916666667,0.029159125,0.0415904166666667
nsa,388,389,Partial FR (D),OPTIMAL,389,1,0,0.0282053333333333,0.000335541666666667,0.028540875
