member,num_vars,selected_rows,structural_rank,numerical_rank,reduced_order,qr_runtime_seconds
e0ddr2-10-by-5-1.cnf,19500,10421,3952,3951,15550,2.02578883333333
e0ddr2-10-by-5-4.cnf,19500,9195,3490,3489,16012,1.397709
enddr2-10-by-5-1.cnf,20700,12518,4682,4681,16020,2.94586004166667
enddr2-10-by-5-8.cnf,21000,13754,5096,5095,15906,3.49517691666667
ewddr2-10-by-5-1.cnf,21800,14975,5536,5535,16266,4.65303479166667
ewddr2-10-by-5-8.cnf,22500,18333,6686,6685,15816,7.409247625
