archive,family,member,instance_id,num_vars,declared_clauses,parsed_clauses,eligible,skip_reason,solver_status,solver_objective,support_count,has_nonzero_reduction,primal_residual,solver_runtime_seconds,wall_runtime_seconds,message
blocksworld.tar.gz,blocksworld,bw_large.d.cnf,blocksworld.tar.gz::bw_large.d.cnf,6325,131973,131973,True,,OPTIMAL,102.0,102,True,0.0,2.327134847640991,3.103079209000004,
blocksworld.tar.gz,blocksworld,huge.cnf,blocksworld.tar.gz::huge.cnf,459,7054,7054,True,,OPTIMAL,42.0,42,True,0.0,0.05104398727416992,0.09335008299999714,
blocksworld.tar.gz,blocksworld,medium.cnf,blocksworld.tar.gz::medium.cnf,116,953,953,True,,OPTIMAL,21.0,21,True,0.0,0.005939006805419922,0.017022750000002418,
bmc.tar.gz,bmc,bmc-galileo-8.cnf,bmc.tar.gz::bmc-galileo-8.cnf,58074,294821,294821,False,SIZE_LIMIT,SKIPPED_SIZE,,,,,,0.3357732079999991,
bmc.tar.gz,bmc,bmc-galileo-9.cnf,bmc.tar.gz::bmc-galileo-9.cnf,63624,326999,326999,False,SIZE_LIMIT,SKIPPED_SIZE,,,,,,0.4264863749999961,
bmc.tar.gz,bmc,bmc-ibm-1.cnf,bmc.tar.gz::bmc-ibm-1.cnf,9685,55870,55870,True,,OPTIMAL,11045.0,11045,True,0.0,5.021497011184692,5.466391250000001,
bmc.tar.gz,bmc,bmc-ibm-10.cnf,bmc.tar.gz::bmc-ibm-10.cnf,59056,323700,323700,False,SIZE_LIMIT,SKIPPED_SIZE,,,,,,0.4137922500000002,
bmc.tar.gz,bmc,bmc-ibm-11.cnf,bmc.tar.gz::bmc-ibm-11.cnf,32109,150027,150027,False,SIZE_LIMIT,SKIPPED_SIZE,,,,,,0.2466984169999975,
bmc.tar.gz,bmc,bmc-ibm-12.cnf,bmc.tar.gz::bmc-ibm-12.cnf,39598,194778,194778,False,SIZE_LIMIT,SKIPPED_SIZE,,,,,,0.2595574579999962,
bmc.tar.gz,bmc,bmc-ibm-13.cnf,bmc.tar.gz::bmc-ibm-13.cnf,13215,65728,65728,True,,OPTIMAL,13071.0,13071,True,0.0,18.603589057922363,19.069375583000003,
bmc.tar.gz,bmc,bmc-ibm-2.cnf,bmc.tar.gz::bmc-ibm-2.cnf,2810,11683,11683,True,,OPTIMAL,6475.0,6475,True,0.0,0.10756492614746094,0.18730812500000127,
bmc.tar.gz,bmc,bmc-ibm-3.cnf,bmc.tar.gz::bmc-ibm-3.cnf,14930,72106,72106,True,,OPTIMAL,13485.0,13485,True,0.0,29.33710813522339,29.855569333,
bmc.tar.gz,bmc,bmc-ibm-4.cnf,bmc.tar.gz::bmc-ibm-4.cnf,28161,139716,139716,True,,TIME_LIMIT,,,,,300.01246404647827,300.96045216600004,
bmc.tar.gz,bmc,bmc-ibm-5.cnf,bmc.tar.gz::bmc-ibm-5.cnf,9396,41207,41207,True,,OPTIMAL,18596.0,18596,True,0.0,2.053312063217163,2.3486462500000016,
bmc.tar.gz,bmc,bmc-ibm-6.cnf,bmc.tar.gz::bmc-ibm-6.cnf,51639,368352,368352,False,SIZE_LIMIT,SKIPPED_SIZE,,,,,,0.46936649999997826,
bmc.tar.gz,bmc,bmc-ibm-7.cnf,bmc.tar.gz::bmc-ibm-7.cnf,8710,39774,39774,True,,OPTIMAL,18970.00000000027,18970,True,9.900712906198755e-07,2.1277949810028076,2.4049674579999873,
hanoi.tar.gz,hanoi,hanoi4.cnf,hanoi.tar.gz::hanoi4.cnf,718,4934,4934,True,,OPTIMAL,488.0,488,True,0.0,0.044090986251831055,0.07883983300001773,
hanoi.tar.gz,hanoi,hanoi5.cnf,hanoi.tar.gz::hanoi5.cnf,1931,14468,14468,True,,OPTIMAL,1056.0,1056,True,0.0,0.2228081226348877,0.3085592080000197,
inductive-inference.tar.gz,inductive-inference,ii16a2.cnf,inductive-inference.tar.gz::ii16a2.cnf,1602,23281,23281,True,,OPTIMAL,-0.0,0,False,0.0,0.06192803382873535,0.18333537500001285,
inductive-inference.tar.gz,inductive-inference,ii16b1.cnf,inductive-inference.tar.gz::ii16b1.cnf,1728,24792,24792,True,,OPTIMAL,-0.0,0,False,0.0,0.06606411933898926,0.2080199580000226,
inductive-inference.tar.gz,inductive-inference,ii16b2.cnf,inductive-inference.tar.gz::ii16b2.cnf,1076,16121,16121,True,,OPTIMAL,-0.0,0,False,0.0,0.05475282669067383,0.17371091699999397,
inductive-inference.tar.gz,inductive-inference,ii16c1.cnf,inductive-inference.tar.gz::ii16c1.cnf,1580,16467,16467,True,,OPTIMAL,-0.0,0,False,0.0,0.04063606262207031,0.1429477920000295,
inductive-inference.tar.gz,inductive-inference,ii16c2.cnf,inductive-inference.tar.gz::ii16c2.cnf,924,13803,13803,True,,OPTIMAL,-0.0,0,False,0.0,0.04576301574707031,0.12070149999999558,
inductive-inference.tar.gz,inductive-inference,ii16d1.cnf,inductive-inference.tar.gz::ii16d1.cnf,1230,15901,15901,True,,OPTIMAL,-0.0,0,False,0.0,0.04178786277770996,0.1350436660000014,
inductive-inference.tar.gz,inductive-inference,ii16d2.cnf,inductive-inference.tar.gz::ii16d2.cnf,836,12461,12461,True,,OPTIMAL,-0.0,0,False,0.0,0.04337000846862793,0.11670045799996842,
inductive-inference.tar.gz,inductive-inference,ii16e1.cnf,inductive-inference.tar.gz::ii16e1.cnf,1245,14766,14766,True,,OPTIMAL,-0.0,0,False,0.0,0.04319405555725098,0.14082100000001674,
inductive-inference.tar.gz,inductive-inference,ii16e2.cnf,inductive-inference.tar.gz::ii16e2.cnf,532,7825,7825,True,,OPTIMAL,-0.0,0,False,0.0,0.029458999633789062,0.08310820899998816,
inductive-inference.tar.gz,inductive-inference,ii32a1.cnf,inductive-inference.tar.gz::ii32a1.cnf,459,9212,9212,True,,OPTIMAL,-0.0,0,False,0.0,0.042114973068237305,0.09572270899997193,
inductive-inference.tar.gz,inductive-inference,ii32b1.cnf,inductive-inference.tar.gz::ii32b1.cnf,228,1374,1374,True,,OPTIMAL,-0.0,0,False,0.0,0.00693511962890625,0.017962125000053675,
inductive-inference.tar.gz,inductive-inference,ii32b2.cnf,inductive-inference.tar.gz::ii32b2.cnf,261,2558,2558,True,,OPTIMAL,-0.0,0,False,0.0,0.011981010437011719,0.03036141599994835,
inductive-inference.tar.gz,inductive-inference,ii32b3.cnf,inductive-inference.tar.gz::ii32b3.cnf,348,5734,5734,True,,OPTIMAL,-0.0,0,False,0.0,0.027490854263305664,0.07096358299997974,
inductive-inference.tar.gz,inductive-inference,ii32b4.cnf,inductive-inference.tar.gz::ii32b4.cnf,381,6918,6918,True,,OPTIMAL,-0.0,0,False,0.0,0.03315305709838867,0.07963770800000702,
inductive-inference.tar.gz,inductive-inference,ii32c1.cnf,inductive-inference.tar.gz::ii32c1.cnf,225,1280,1280,True,,OPTIMAL,-0.0,0,False,0.0,0.006422996520996094,0.01748949999995375,
inductive-inference.tar.gz,inductive-inference,ii32c2.cnf,inductive-inference.tar.gz::ii32c2.cnf,249,2182,2182,True,,OPTIMAL,-0.0,0,False,0.0,0.010922908782958984,0.027833874999998898,
inductive-inference.tar.gz,inductive-inference,ii32c3.cnf,inductive-inference.tar.gz::ii32c3.cnf,279,3272,3272,True,,OPTIMAL,-0.0,0,False,0.0,0.015507936477661133,0.0389431669999567,
inductive-inference.tar.gz,inductive-inference,ii32c4.cnf,inductive-inference.tar.gz::ii32c4.cnf,759,20862,20862,True,,OPTIMAL,-0.0,0,False,0.0,0.11350703239440918,0.26583041700001786,
inductive-inference.tar.gz,inductive-inference,ii32d1.cnf,inductive-inference.tar.gz::ii32d1.cnf,332,2703,2703,True,,OPTIMAL,-0.0,0,False,0.0,0.00984501838684082,0.02790037500000153,
inductive-inference.tar.gz,inductive-inference,ii32d2.cnf,inductive-inference.tar.gz::ii32d2.cnf,404,5153,5153,True,,OPTIMAL,-0.0,0,False,0.0,0.01784992218017578,0.04920299999997724,
inductive-inference.tar.gz,inductive-inference,ii32d3.cnf,inductive-inference.tar.gz::ii32d3.cnf,824,19478,19478,True,,OPTIMAL,-0.0,0,False,0.0,0.07384109497070312,0.19376916600003824,
inductive-inference.tar.gz,inductive-inference,ii32e1.cnf,inductive-inference.tar.gz::ii32e1.cnf,222,1186,1186,True,,OPTIMAL,-0.0,0,False,0.0,0.006883859634399414,0.017340749999959826,
inductive-inference.tar.gz,inductive-inference,ii32e2.cnf,inductive-inference.tar.gz::ii32e2.cnf,267,2746,2746,True,,OPTIMAL,-0.0,0,False,0.0,0.012228012084960938,0.03176849999999831,
inductive-inference.tar.gz,inductive-inference,ii32e3.cnf,inductive-inference.tar.gz::ii32e3.cnf,330,5020,5020,True,,OPTIMAL,-0.0,0,False,0.0,0.0222170352935791,0.059358875000043554,
inductive-inference.tar.gz,inductive-inference,ii32e4.cnf,inductive-inference.tar.gz::ii32e4.cnf,387,7106,7106,True,,OPTIMAL,-0.0,0,False,0.0,0.03567814826965332,0.08325220800003308,
inductive-inference.tar.gz,inductive-inference,ii32e5.cnf,inductive-inference.tar.gz::ii32e5.cnf,522,11636,11636,True,,OPTIMAL,-0.0,0,False,0.0,0.050109148025512695,0.124770500000011,
inductive-inference.tar.gz,inductive-inference,ii8a1.cnf,inductive-inference.tar.gz::ii8a1.cnf,66,186,186,True,,OPTIMAL,-0.0,0,False,0.0,0.0015528202056884766,0.0044228329999782545,
inductive-inference.tar.gz,inductive-inference,ii8a2.cnf,inductive-inference.tar.gz::ii8a2.cnf,180,800,800,True,,OPTIMAL,-0.0,0,False,0.0,0.002959012985229492,0.00904933300000721,
